ID,Group_code,Time_text,Time_code,DOB,Age_years,Gender_text,Gender_code,Hispanic_text,Hispanic_code,Hispanic_dummy,Race_text,Race_White,Race_Black,Race_Asian,Race_AIAN,Race_NHPI,Race_Other,Year_text,Year_code,Major_text,Major_code,Familiar_SchoolPsych_text,Familiar_SchoolPsych,Courses_text,Courses,Know_SchoolPsych_text,Know_SchoolPsych,Interest_SchoolPsych_text,Interest_SchoolPsych,Appeal_text,Appeal_MentalHealth,Appeal_Academics,Appeal_Intervention,Appeal_Assessment,Appeal_children,Appeal_Other,Interest_change_text,Interest_change,Info_SchoolPsych_text,Info_SchoolPsych,Familiar_PosPsych_text,Familiar_PosPsych,Practice_PosPsych_text,Practice_PosPsych,Continue_PosPsych_text,Continue_PosPsych,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,PANAS_Pos1,PANAS_Pos2,PANAS_Pos3,PANAS_Pos4,PANAS_Pos5,PANAS_Pos6,PANAS_Pos7,PANAS_Pos8,PANAS_Pos9,PANAS_Pos10,PANAS_Neg1,PANAS_Neg2,PANAS_Neg3,PANAS_Neg4,PANAS_Neg5,PANAS_Neg6,PANAS_Neg7,PANAS_Neg8,PANAS_Neg9,PANAS_Neg10,CSSWQ_1,CSSWQ_2,CSSWQ_3,CSSWQ_4,CSSWQ_5,CSSWQ_6,CSSWQ_7,CSSWQ_8,CSSWQ_9,CSSWQ_10,CSSWQ_11,CSSWQ_12,CSSWQ_13,CSSWQ_14,CSSWQ_15,CSSWQ_16,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,uniqueid
4M,1,mid,2,05/14/2004,20.85,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Psychology,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,5,4,4,3,4,4,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4,5,5,5,6,6,6,6,5,6,5,6,5,6,6,5,5,3,3,2,4,4,3,2,4,4,3,4,3,4
4P,1,post,3,05/14/2004,20.85,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Psychology,1,I know some general information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,6,3,3,3,3,4,4,3,3,4,4,3,3,3,4,3,4,2,4,3,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,2,4,4,3,2,4,3,2,3,4
5,0,pre,1,05/04/2006,18.88,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Business,6,I know some general information,3,NA,NA,No,0,Not interested at all,1,"Working with children and adolescents, Supporting mental health in school environments",1,0,0,0,1,0,NA,NA,No,0,I have moderate knowledge,3,Ocassionally,2,NA,NA,5,4,5,4,1,4,5,2,4,2,3,3,2,2,4,4,3,1,2,1,1,1,2,4,2,4,6,5,5,5,2,7,7,3,3,6,5,4,6,7,6,5,3,4,4,4,3,2,5,5,4,4,4,5
5M,0,mid,2,05/04/2006,18.88,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Business,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,2,1,1,3,1,3,1,3,1,1,2,1,3,4,1,4,3,3,1,2,4,1,3,1,6,5,3,1,5,5,1,1,5,5,4,1,6,6,2,3,4,2,3,2,3,2,1,2,1,1,5
5P,0,post,3,05/04/2006,18.88,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Business,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,3,4,4,2,5,5,3,1,2,3,5,2,3,1,1,1,2,1,2,1,1,5,5,6,6,5,4,6,6,4,3,6,6,5,5,6,6,3,4,5,4,4,3,4,3,2,4,4,5,5
6,0,pre,1,04/24/2005,19.91,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Political Science and Philosophy,5,I know some general information,3,NA,NA,No,0,Not interested at all,1,"Supporting mental health in school environments, Developing and implementing intervention programs",1,0,1,0,0,0,NA,NA,No,0,I have moderate knowledge,3,Often,3,NA,NA,6,7,7,7,7,5,3,2,3,4,1,1,4,3,5,1,3,2,2,2,2,1,4,4,1,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,2,4,1,1,2,4,5,2,4,5,6
6M,0,mid,2,04/24/2005,19.91,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Political Science and Philosophy,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,6,7,4,5,3,2,1,1,1,1,1,3,1,2,1,2,1,3,1,4,2,1,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,4,1,3,2,1,1,2,2,1,2,3,3,6
6P,0,post,3,04/24/2005,19.91,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Political Science and Philosophy,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,5,4,4,3,4,4,1,5,4,5,5,3,2,1,1,3,1,5,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,4,4,1,2,2,3,1,1,3,4,6
7,1,pre,1,01/24/2005,20.15,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Psycholofy,1,I know some general information,3,NA,NA,No,0,Moderately interested,3,"Working with children and adolescents, Supporting mental health in school environments, Conducting psychological assessments and evaluations",1,0,0,1,1,0,NA,NA,Yes,1,I have moderate knowledge,3,Ocassionally,2,NA,NA,7,5,5,5,5,2,4,1,4,4,1,2,5,4,3,4,4,5,5,3,3,1,5,4,3,5,6,6,7,6,6,4,5,6,5,7,7,7,7,5,6,4,3,3,4,5,5,3,4,4,3,4,3,7
7M,1,mid,2,01/24/2005,20.15,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Psycholofy,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,2,3,3,1,3,2,5,3,3,3,3,1,1,5,5,1,3,5,5,4,5,5,6,6,7,7,6,5,7,5,6,5,5,5,6,6,6,1,1,4,2,3,3,1,1,1,5,3,3,7
7P,1,post,3,01/24/2005,20.15,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Psycholofy,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8,1,pre,1,06/19/2005,19.75,Prefer not to say,4,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Materials Science and Engineering,3,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,Supporting mental health in school environments,1,0,0,0,0,0,NA,NA,No,0,I have limited knowledge,2,Never,0,NA,NA,5,5,5,6,3,3,4,2,2,2,1,2,4,2,2,4,1,3,1,1,3,3,5,5,1,5,6,7,6,3,5,7,7,5,6,7,7,5,6,7,7,4,2,4,3,1,2,5,4,5,2,4,3,8
8M,1,mid,2,06/19/2005,19.75,Prefer not to say,4,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Materials Science and Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,7,6,3,4,4,3,2,4,3,4,4,2,5,3,5,2,1,5,4,5,5,4,6,6,7,7,5,6,7,7,7,5,7,7,6,6,7,7,2,4,5,2,4,4,5,4,2,4,1,4,8
8P,1,post,3,06/19/2005,19.75,Prefer not to say,4,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Materials Science and Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,6,5,5,4,3,4,3,3,4,3,4,2,3,2,2,1,1,1,2,3,3,1,6,6,7,7,5,6,6,6,6,6,7,7,7,6,7,7,3,4,5,2,2,3,5,2,3,3,2,5,8
9,0,pre,1,01/03/2005,20.21,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Computer Engineering,3,I know some general information,3,NA,NA,No,0,Not interested at all,1,"Working with children and adolescents, Supporting mental health in school environments",1,0,0,0,1,0,NA,NA,No,0,I have limited knowledge,2,Ocassionally,2,NA,NA,5,6,6,7,7,4,3,4,3,1,2,3,3,2,2,4,2,1,2,1,3,1,4,3,2,5,4,6,7,3,3,6,6,3,4,6,5,5,4,6,7,4,4,3,4,2,2,4,5,4,2,4,3,9
9M,0,mid,2,01/03/2005,20.21,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Computer Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,2,3,2,3,1,1,1,3,2,2,4,1,2,3,1,2,1,4,3,3,5,4,6,7,3,5,6,6,5,4,5,6,5,6,6,7,4,3,3,2,3,2,2,3,2,1,1,2,9
9P,0,post,3,01/03/2005,20.21,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Sophmore,2,Computer Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,3,5,3,3,4,3,4,5,4,3,3,4,3,2,1,2,3,2,1,2,4,2,5,6,6,7,3,5,7,7,4,5,6,7,4,5,6,6,3,4,5,1,3,2,3,2,2,2,3,4,9
10,0,pre,1,01/23/2004,21.16,Non-binary,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,"Psychology and Women, Gender, and Sexuality Studies",1,I have heard of it but know very little,2,NA,NA,No,0,Slightly interested,2,Working with children and adolescents,0,0,0,0,1,0,NA,NA,No,0,I have limited knowledge,2,Ocassionally,2,NA,NA,2,2,3,4,3,3,2,2,2,1,1,3,2,2,3,3,3,2,2,1,2,2,4,4,2,2,6,5,6,5,6,5,6,6,6,5,6,4,4,6,6,3,3,4,4,5,4,4,3,4,3,5,3,10
10M,0,mid,2,01/23/2004,21.16,Non-binary,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,"Psychology and Women, Gender, and Sexuality Studies",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,6,6,2,2,3,2,2,2,2,3,2,1,4,5,3,4,3,5,4,5,4,4,5,7,5,6,5,6,5,7,6,6,6,6,6,3,6,6,2,2,4,2,5,3,4,2,3,4,2,2,10
10P,0,post,3,01/23/2004,21.16,Non-binary,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,"Psychology and Women, Gender, and Sexuality Studies",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,6,4,3,1,3,2,3,2,3,3,3,3,2,3,2,1,3,3,3,3,2,5,6,6,7,6,6,6,6,6,6,6,7,5,5,5,7,3,3,4,3,4,2,4,3,2,4,2,2,10
11,1,pre,1,01/11/2004,21.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Other,0,0,0,0,0,1,Junior,3,Chemical Engineering,3,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,"Working with children and adolescents, Enhancing academic achievement and learning outcomes, Conducting psychological assessments and evaluations",0,1,0,1,1,0,NA,NA,Yes,1,I have limited knowledge,2,Rarely,1,NA,NA,5,3,4,5,5,2,4,4,4,2,4,3,3,4,3,3,3,4,2,1,4,2,2,4,2,6,5,5,7,6,6,6,7,5,7,6,7,6,5,7,7,5,3,4,4,3,2,4,5,4,2,5,5,11
11M,1,mid,2,01/11/2004,21.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Other,0,0,0,0,0,1,Junior,3,Chemical Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,6,5,4,4,2,4,2,4,4,5,4,2,5,3,1,3,3,5,1,5,4,3,5,6,6,7,7,6,7,7,7,7,6,7,7,5,6,7,2,4,4,3,4,3,4,1,1,4,1,2,11
11P,1,post,3,01/11/2004,21.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Other,0,0,0,0,0,1,Junior,3,Chemical Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,5,5,3,4,4,3,4,4,4,4,3,4,3,3,1,1,2,2,5,4,3,5,4,5,7,6,7,6,6,6,6,5,6,5,4,6,7,1,3,4,2,4,3,4,1,2,3,2,2,11
12,0,pre,1,[05/26/2006],18.82,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Zoology,7,I know some general information,3,NA,NA,No,0,Not interested at all,1,"Working with children and adolescents, Supporting mental health in school environments",1,0,0,0,1,0,NA,NA,No,0,I have moderate knowledge,3,Often,3,NA,NA,6,6,6,6,5,3,4,5,4,4,4,3,4,4,5,2,2,1,1,1,2,1,2,2,1,6,7,7,7,7,7,6,6,6,6,6,6,6,7,5,6,3,2,4,4,4,3,3,4,5,3,4,5,12
12M,0,mid,2,[05/26/2006],18.82,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Zoology,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,3,4,5,3,4,4,3,4,4,3,3,2,1,2,1,1,1,4,2,2,7,7,5,7,6,6,6,6,6,6,6,6,5,6,4,6,3,4,3,3,3,4,4,4,2,4,4,4,12
12P,0,post,3,[05/26/2006],18.82,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Zoology,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,5,4,4,3,4,4,1,4,3,3,4,3,2,1,1,2,2,1,1,1,1,6,6,6,7,7,7,5,6,6,6,6,7,7,7,5,6,4,4,4,3,4,4,4,3,3,4,4,3,12
13,0,pre,1,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,I have never heard of it,1,NA,NA,No,0,Not interested at all,1,"Supporting mental health in school environments, Developing and implementing intervention programs",1,0,1,0,0,0,NA,NA,No,0,I am not familiar at all,1,Rarely,1,NA,NA,6,6,6,6,6,3,4,3,4,3,3,3,3,3,4,3,1,1,1,1,1,1,1,1,1,6,6,4,7,5,6,6,7,5,6,6,7,6,6,5,7,3,4,4,3,4,4,4,3,4,4,4,5,13
13M,0,mid,2,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,7,4,5,3,4,3,3,4,4,3,2,2,1,1,1,1,1,1,2,1,2,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,2,3,5,4,3,3,4,2,2,3,3,5,13
13P,0,post,3,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,4,4,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,1,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,3,4,4,5,3,3,3,3,5,3,5,5,13
14,0,pre,1,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,I know some general information,3,NA,NA,Yes,1,Slightly interested,2,Conducting psychological assessments and evaluations,0,0,0,1,0,0,NA,NA,Yes,1,I have moderate knowledge,3,Ocassionally,2,NA,NA,3,2,3,5,3,3,3,2,3,3,2,4,4,3,3,1,3,2,2,2,2,1,4,3,3,2,3,2,5,2,2,5,5,2,3,4,5,2,2,5,5,4,4,4,4,4,3,3,3,3,2,4,3,14
14M,0,mid,2,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,2,2,3,3,3,3,2,4,4,4,4,3,2,2,4,2,2,2,4,4,4,3,3,3,6,3,3,6,6,2,3,3,5,3,2,5,6,2,3,3,2,3,2,3,2,2,2,2,2,14
14P,0,post,3,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,3,3,4,3,3,2,2,3,2,2,2,2,4,2,2,3,4,3,3,2,2,3,3,3,6,3,3,6,6,3,3,5,6,3,3,6,7,2,2,2,2,3,2,3,2,2,2,2,2,14
15,1,pre,1,12/27/2005,19.23,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Black or African American,0,1,0,0,0,0,Freshmen,1,Bioprocessing Engineering,3,I have heard of it but know very little,2,NA,NA,Yes,1,Slightly interested,2,"Working with children and adolescents, Conducting psychological assessments and evaluations",0,0,0,1,1,0,NA,NA,Yes,1,I have limited knowledge,2,Ocassionally,2,NA,NA,4,7,4,5,7,4,2,5,2,3,3,2,5,4,4,5,4,3,5,1,4,2,5,3,4,4,5,4,7,3,4,5,6,3,6,6,6,5,4,5,5,5,2,3,5,5,4,4,3,4,5,3,4,15
